nappy run log  2026-09-12T20:50:23  version v0.8.2-870-g6ff43b3

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s  invincible
   0.0  crowd    a car sounded its horn at her in the road at (9,30) | exc 0, in 0.0/s (crowd 9.4, events 10.7), sleep 27
   0.0  cross    stepped into the road at (9,30), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (10,30) | exc 0, in 0.0/s (crowd 28.4, events 9.9), sleep 27
   0.0  near     market_stall at (10,33), 63px, exc 0, in 0.0/s (crowd 45.1, events 6.3), sleep 28
   0.0  cue      the mark over her head: soon for 0.0s (1.6s of it on the road) | a car, and she is in the road
   0.0  crowd    a car sounded its horn at her in the road at (16,25) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 29
   0.0  cross    stepped into the road at (16,25), mid-block
   0.0  near     market_stall at (15,23), 64px, exc 0, in 0.0/s (crowd 11.6, events 2.7), sleep 29
   0.0  near     market_stall at (19,23), 64px, exc 0, in 0.0/s (crowd 20.6, events 7.0), sleep 29
   0.0  cue      the mark over her head: soon for 0.0s (2.2s of it on the road) | a car, and she is in the road
   0.0  cross    stepped into the road at (14,17), at a zebra
   0.0  near     market_stall at (10,19), 64px, exc 0, in 0.0/s (crowd 0.0, events 3.9), sleep 31
   0.0  near     market_stall at (10,15), 63px, exc 0, in 0.0/s (crowd 0.0, events 5.7), sleep 31
   0.0  cross    stepped into the road at (3,13), mid-block
   0.0  near     cafe_tables at (5,10), 63px, exc 0, in 0.0/s (crowd 0.0, events 0.2), sleep 32
   0.0  near     cafe_tables at (1,10), 64px, exc 0, in 0.0/s (crowd 0.0, events 0.1), sleep 32
   0.0  shot     burst started: asked for an animation burst at (0,0) | exc 0, sleep 25 | playing | asked/burst-243207881-005
   0.0  shot     burst complete: 36 frames | duration
   0.0  shot     burst started: asked for an animation burst at (0,0) | exc 0, sleep 18 | playing | asked/burst-250015190-006
   0.0  shot     burst complete: 36 frames | duration
   0.0  shot     burst started: asked for an animation burst at (1,0) | exc 0, sleep 15 | playing | asked/burst-253374605-007
   0.0  crowd    a car sounded its horn at her in the road at (4,2) | exc 0, in 0.0/s (crowd 6.7, events 0.0), sleep 15
   0.0  cross    stepped into the road at (4,2), at a zebra
   0.0  shot     burst refused: another burst is active
   0.0  shot     burst complete: 36 frames | frame_cap
   0.0  near     delivery_van at (10,4), 149px, exc 0, in 0.0/s (crowd 10.2, events 0.0), sleep 15
   0.0  cue      the mark over her head: soon for 0.0s (1.0s of it on the road) | a car, and she is in the road
   0.0  ahead    cat_dash crosses 332px in front of her at (6,4)
   0.0  near     delivery_van at (10,1), 150px, exc 0, in 0.0/s (crowd 8.0, events 0.0), sleep 15
   0.0  near     delivery_van at (10,4), 81px, exc 0, in 0.0/s (crowd 5.1, events 0.0), sleep 15
   0.0  near     delivery_van at (10,4), 44px, exc 0, in 0.0/s (crowd 3.3, events 0.0), sleep 16
   0.0  cross    stepped into the road at (16,4), at a zebra
   0.0  near     cat_dash at (17,8), 120px, exc 0, in 0.0/s (crowd 5.0, events 13.2), sleep 17
   0.0  near     cat_dash at (19,6), 65px, exc 0, in 0.0/s (crowd 1.5, events 0.0), sleep 17
