nappy run log  2026-09-20T18:25:17  version v0.14.0-8-g13493987
  76.6  frame    fps 118, worst frame 16.7ms, draws 288, objects 1955, primitives 4669, process 16.49ms, physics 1.43ms
  76.7  cross    stepped into the road at (44,103), at a signalled crossing
  77.6  frame    fps 120, worst frame 16.7ms, draws 286, objects 1905, primitives 4572, process 10.99ms, physics 1.38ms
  78.1  path     onto the corridor at (48,103), after 2.1s off it
  78.6  frame    fps 119, worst frame 8.3ms, draws 281, objects 1920, primitives 4530, process 14.86ms, physics 1.33ms
  79.6  frame    fps 119, worst frame 16.7ms, draws 283, objects 1962, primitives 4641, process 14.57ms, physics 1.31ms
  80.6  frame    fps 120, worst frame 16.7ms, draws 344, objects 1858, primitives 4228, process 11.05ms, physics 1.38ms
  81.6  frame    fps 119, worst frame 8.3ms, draws 334, objects 1817, primitives 4050, process 15.39ms, physics 1.34ms
  82.6  ahead    cat_dash crosses 332px in front of her at (56,106)
  82.6  frame    fps 118, worst frame 16.7ms, draws 616, objects 2429, primitives 5325, process 16.50ms, physics 1.38ms
  83.4  cross    stepped into the road at (58,106), mid-block
  83.6  frame    fps 119, worst frame 16.7ms, draws 253, objects 1624, primitives 3641, process 15.54ms, physics 1.40ms
  84.6  frame    fps 120, worst frame 16.7ms, draws 259, objects 1873, primitives 4208, process 11.13ms, physics 1.44ms
  85.2  cross    stepped into the road at (60,101), at a zebra
  85.7  frame    fps 119, worst frame 8.3ms, draws 418, objects 2211, primitives 4886, process 15.03ms, physics 1.55ms
  86.5  near     moving_van at (60,94), 118px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  86.6  path     off the corridor at (60,97), after 8.5s on it
  86.7  frame    fps 119, worst frame 16.7ms, draws 410, objects 1935, primitives 4229, process 15.19ms, physics 1.44ms
  86.9  path     onto the corridor at (60,98), after 0.2s off it
  87.2  turn     doubled back 180°
  87.7  frame    fps 120, worst frame 16.7ms, draws 414, objects 2203, primitives 4816, process 11.42ms, physics 1.31ms
  88.7  frame    fps 119, worst frame 8.3ms, draws 410, objects 2197, primitives 4750, process 15.38ms, physics 1.15ms
  89.7  frame    fps 119, worst frame 16.7ms, draws 408, objects 2195, primitives 4716, process 15.26ms, physics 1.18ms
  90.7  frame    fps 119, worst frame 16.7ms, draws 569, objects 2583, primitives 5459, process 15.18ms, physics 1.39ms
  91.7  frame    fps 120, worst frame 16.7ms, draws 578, objects 2344, primitives 5080, process 10.95ms, physics 1.65ms
  91.7  crowd    walked into somebody at (70,96) | exc 0, in 2.3/s (crowd 22.2, events 0.0), sleep 100
  92.7  frame    fps 119, worst frame 8.3ms, draws 583, objects 2330, primitives 5124, process 15.38ms, physics 1.46ms
  93.7  frame    fps 119, worst frame 16.7ms, draws 577, objects 2321, primitives 5034, process 15.53ms, physics 1.44ms
  94.0  crowd    a car sounded its horn at her in the road at (72,90) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  94.0  cross    stepped into the road at (72,90), mid-block
  94.3  path     off the corridor at (72,89), after 7.5s on it
  94.7  frame    fps 120, worst frame 16.7ms, draws 252, objects 1735, primitives 3724, process 11.21ms, physics 1.34ms
  94.8  path     onto the corridor at (74,89), after 0.5s off it
  94.8  cue      the mark over her head: soon for 0.9s (0.9s of it on the road) | a car, and she is in the road
  95.5  path     off the corridor at (75,87), after 0.7s on it
  95.5  cross    stepped into the road at (75,87), at a zebra
  95.7  frame    fps 119, worst frame 8.3ms, draws 249, objects 1831, primitives 3868, process 15.34ms, physics 1.29ms
  96.7  frame    fps 119, worst frame 16.7ms, draws 431, objects 2200, primitives 4654, process 15.74ms, physics 1.47ms
  97.7  frame    fps 120, worst frame 25.0ms, draws 432, objects 1969, primitives 4189, process 10.85ms, physics 1.12ms
  97.8  path     66% of her street time on the corridor (52.9s on, 27.2s off, 17.6s off the streets)
  97.8  home     WON, 82.2s to spare
  97.8  save     wrote the save (between days)

day 2  act 1  run seed 2609743060  city seed 2609743060  length 180.0s
   0.0  texture  ground composed: 66 sources over 65 pictures into 424x444 in 27.1 ms
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  roll     busker, pigeon_flock, busker in the park she used yesterday, (1,5)
   0.0  plan     closed: roadworks v(5,5)
   0.0  plan     calm: 1 park, 1 quiet_square, 2 courtyard, 4 forest
   0.0  plan     events: alley_mouse x4, burst_water_main x24, busker x12, cafe_tables x59, car_accident x19, cat_dash x8, chatting_mother x2, construction x58, cyclist x7, delivery_van x37, dog_walker x20, fallen_tree, homeless_yeller x5, ice_cream_van x5, leaf_blower x9, loose_dog x15, market_stall x38, moving_van x44, pigeon_flock x6, playground, scaffolding x23, skip x25
   0.0  start    doorstep (80,84), facing 180°
   0.0  save     wrote the save (day under way)
   1.0  frame    fps 40, worst frame 274.6ms, draws 465, objects 2433, primitives 5547, process 13.07ms, physics 1.04ms
   2.0  frame    fps 119, worst frame 8.3ms, draws 455, objects 2209, primitives 4978, process 15.36ms, physics 1.16ms
   2.2  crowd    walked into somebody at (82,85) | exc 0, in 4.2/s (crowd 22.2, events 0.0), sleep 1
   2.7  path     onto the corridor at (84,85), after 2.7s off it
   3.0  frame    fps 118, worst frame 16.7ms, draws 448, objects 2002, primitives 4492, process 16.27ms, physics 1.46ms
   4.0  frame    fps 120, worst frame 16.7ms, draws 450, objects 2008, primitives 4504, process 10.79ms, physics 1.46ms
   5.0  frame    fps 119, worst frame 8.3ms, draws 451, objects 2030, primitives 4551, process 15.44ms, physics 1.64ms
   6.0  frame    fps 119, worst frame 16.7ms, draws 447, objects 2147, primitives 4764, process 15.53ms, physics 1.46ms
   6.4  crowd    walked into somebody at (84,75) | exc 0, in 8.9/s (crowd 26.9, events 0.0), sleep 2
   7.1  frame    fps 119, worst frame 16.7ms, draws 458, objects 2156, primitives 4929, process 15.94ms, physics 1.39ms
   8.1  frame    fps 120, worst frame 16.7ms, draws 454, objects 2145, primitives 4859, process 10.41ms, physics 1.31ms
   8.3  closure  saw the roadworks on v(5,5) from (79,74)
   9.1  frame    fps 118, worst frame 8.3ms, draws 449, objects 2115, primitives 4751, process 16.05ms, physics 1.42ms
   9.4  cross    stepped into the road at (76,73), mid-block
   9.5  path     off the corridor at (75,73), after 6.8s on it
  10.1  frame    fps 119, worst frame 16.7ms, draws 284, objects 1731, primitives 3983, process 15.78ms, physics 1.75ms
  10.2  path     onto the corridor at (75,71), after 0.7s off it
  11.1  frame    fps 120, worst frame 16.7ms, draws 448, objects 1976, primitives 4519, process 10.80ms, physics 1.47ms
  12.1  frame    fps 119, worst frame 8.3ms, draws 444, objects 1994, primitives 4478, process 15.62ms, physics 1.46ms
  13.1  near     construction at (80,61), 199px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 5
  13.1  frame    fps 119, worst frame 16.7ms, draws 433, objects 1960, primitives 4295, process 15.78ms, physics 1.53ms
  13.8  path     off the corridor at (74,61), after 3.6s on it
  14.1  frame    fps 118, worst frame 16.7ms, draws 439, objects 2153, primitives 4753, process 16.07ms, physics 1.43ms
  14.5  cross    stepped into the road at (74,59), at a zebra
  14.5  near     construction at (80,57), 199px, exc 0, in 3.2/s (crowd 3.3, events 0.0), sleep 6
  15.1  frame    fps 120, worst frame 16.7ms, draws 261, objects 1783, primitives 4016, process 10.41ms, physics 1.48ms
  15.4  near     homeless_yeller at (70,52), 210px, exc 0, in 4.8/s (crowd 3.2, events 1.7), sleep 6
  15.8  near     scaffolding at (75,52), 117px, exc 0, in 7.2/s (crowd 0.6, events 6.7), sleep 6
  16.1  frame    fps 119, worst frame 8.3ms, draws 259, objects 1642, primitives 3710, process 15.26ms, physics 1.37ms
  16.9  turn     doubled back 180°
  17.1  frame    fps 119, worst frame 16.7ms, draws 264, objects 1798, primitives 4070, process 15.03ms, physics 1.27ms
  17.3  cross    stepped into the road at (74,58), at a zebra
  17.4  near     construction at (80,61), 200px, exc 9, in 8.6/s (crowd 4.3, events 4.4), sleep 6
  18.1  frame    fps 120, worst frame 16.7ms, draws 438, objects 2254, primitives 4928, process 10.83ms, physics 1.36ms
  18.7  path     onto the corridor at (74,62), after 5.0s off it
  19.2  frame    fps 119, worst frame 8.3ms, draws 431, objects 1954, primitives 4253, process 15.36ms, physics 1.29ms
  20.2  frame    fps 118, worst frame 16.7ms, draws 435, objects 1959, primitives 4311, process 16.14ms, physics 1.46ms
  20.4  near     construction at (80,61), 200px, exc 0, in 3.0/s (crowd 0.0, events 0.0), sleep 7
  21.2  frame    fps 119, worst frame 16.7ms, draws 446, objects 1971, primitives 4485, process 16.25ms, physics 1.36ms
  22.2  frame    fps 120, worst frame 16.7ms, draws 442, objects 1959, primitives 4413, process 10.29ms, physics 1.49ms
  22.9  ahead    cat_dash crosses 332px in front of her at (83,65)
  23.2  frame    fps 119, worst frame 8.3ms, draws 445, objects 1990, primitives 4499, process 16.20ms, physics 1.53ms
  23.4  near     ice_cream_van at (90,60), 240px, exc 0, in 2.8/s (crowd 2.8, events 0.0), sleep 9
  23.4  near     construction at (80,61), 200px, exc 0, in 3.1/s (crowd 2.9, events 0.1), sleep 9
  24.2  frame    fps 119, worst frame 16.7ms, draws 446, objects 2005, primitives 4538, process 16.35ms, physics 1.53ms
  24.8  near     construction at (80,57), 199px, exc 0, in 5.3/s (crowd 1.3, events 4.3), sleep 9
  25.2  frame    fps 106, worst frame 25.2ms, draws 455, objects 2048, primitives 4747, process 23.94ms, physics 1.78ms
  25.3  cross    stepped into the road at (84,59), at a zebra
  26.2  frame    fps 115, worst frame 9.8ms, draws 277, objects 1724, primitives 4102, process 23.78ms, physics 1.44ms
  27.2  frame    fps 119, worst frame 16.7ms, draws 266, objects 1603, primitives 3734, process 15.88ms, physics 1.41ms
  28.2  frame    fps 113, worst frame 25.0ms, draws 470, objects 2041, primitives 4724, process 23.70ms, physics 1.36ms
  28.4  near     leaf_blower at (80,47), 189px, exc 0, in 0.1/s (crowd 0.0, events 0.1), sleep 11
  29.2  frame    fps 118, worst frame 16.7ms, draws 501, objects 2104, primitives 5191, process 18.11ms, physics 1.38ms
  29.9  cross    stepped into the road at (86,47), at a zebra
  30.2  frame    fps 112, worst frame 25.5ms, draws 687, objects 2745, primitives 6540, process 23.98ms, physics 1.44ms
  30.6  path     off the corridor at (88,47), after 11.9s on it
  31.2  path     onto the corridor at (88,45), after 0.6s off it
  31.2  cross    stepped into the road at (88,45), at a zebra
  31.2  frame    fps 93, worst frame 25.5ms, draws 683, objects 2613, primitives 6255, process 24.62ms, physics 1.45ms
  32.2  frame    fps 116, worst frame 16.7ms, draws 676, objects 2563, primitives 6162, process 24.07ms, physics 1.42ms
  32.8  path     away from the corridor at (90,41), after 1.6s on it
  32.8  calm     entered commercial (6,3), sleep 13
  33.3  frame    fps 119, worst frame 8.3ms, draws 321, objects 1658, primitives 4181, process 16.36ms, physics 1.43ms
  34.3  frame    fps 119, worst frame 16.7ms, draws 306, objects 1613, primitives 3911, process 15.86ms, physics 1.38ms
  35.3  frame    fps 120, worst frame 16.7ms, draws 445, objects 2072, primitives 4662, process 10.98ms, physics 1.44ms
  36.3  frame    fps 119, worst frame 16.7ms, draws 452, objects 2135, primitives 4831, process 15.18ms, physics 1.40ms
  37.3  frame    fps 119, worst frame 8.3ms, draws 454, objects 1947, primitives 4529, process 15.46ms, physics 1.34ms
