nappy run log  2026-09-08T22:44:34  version v0.8.0

day 1  act 1  run seed 435159537  city seed 435159537  length 180.0s
  23.1  crowd    a car sounded its horn at her in the road at (73,28) | exc 49, in 4.7/s (crowd 0.0, events 4.7), sleep 5
  23.6  cue      the mark over her head: soon for 0.5s (0.5s of it on the road) | a car, and she is in the road
  24.5  path     away from the corridor at (69,26), after 2.1s on it
  24.5  calm     entered forest (4,1), sleep 5
  27.4  thaw     settling again | exc 35, in 0.0/s (crowd 0.0, events 0.0), sleep 5
  27.8  turn     doubled back 68°
  31.8  turn     doubled back 90°
  32.8  calm     settled in the calm block (4,1); tomorrow will know
  32.8  asleep   asleep after 32.8s, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  34.1  path     onto the corridor at (70,21), after 9.5s away it
  34.1  left     left forest (4,1), sleep 100
  34.8  path     off the corridor at (71,19), after 0.7s on it
  35.4  crowd    a car sounded its horn at her in the road at (71,17) | exc 0, in 0.8/s (crowd 1.4, events 0.0), sleep 100
  35.5  cross    stepped into the road at (71,17), at a zebra
  36.2  cue      the mark over her head: soon for 0.7s (0.7s of it on the road) | a car, and she is in the road
  36.4  near     delivery_van at (71,10), 149px, exc 0, in 0.3/s (crowd 0.5, events 0.0), sleep 100
  37.7  near     delivery_van at (74,10), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  38.0  near     delivery_van at (71,10), 82px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  38.2  cross    stepped into the road at (72,12), mid-block
  38.4  near     delivery_van at (74,10), 82px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  38.8  near     delivery_van at (71,10), 45px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  39.0  crowd    a car sounded its horn at her in the road at (72,10) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  39.9  cue      the mark over her head: soon for 0.8s (0.8s of it on the road) | a car, and she is in the road
  41.6  cross    stepped into the road at (71,3), at a zebra
  44.9  near     delivery_van at (80,1), 149px, exc 0, in 2.8/s (crowd 5.2, events 0.0), sleep 100
  44.9  crowd    walked into somebody at (76,0) (+1 in the last 43.0s) | exc 0, in 2.8/s (crowd 23.1, events 0.0), sleep 100
  45.5  near     delivery_van at (80,4), 150px, exc 4, in 7.6/s (crowd 13.6, events 0.0), sleep 100
  45.6  near     delivery_van at (80,1), 81px, exc 5, in 6.9/s (crowd 12.3, events 0.0), sleep 100
  46.1  near     delivery_van at (80,1), 44px, exc 5, in 2.3/s (crowd 4.1, events 0.0), sleep 100
  47.3  blocked  pressed 180° for 1.0s at (79,0) without moving
  48.0  turn     doubled back 270°
  50.5  ahead    cat_dash crosses 221px in front of her at (79,0)
  51.3  cross    stepped into the road at (78,2), mid-block
  51.5  near     delivery_van at (80,4), 82px, exc 2, in 3.1/s (crowd 5.7, events 0.0), sleep 100
  58.5  shot     asked for a picture at (83,0) | exc 0, sleep 100 | playing
  61.9  crowd    walked into somebody at (83,0) | exc 2, in 2.6/s (crowd 22.8, events 0.0), sleep 100
  65.6  idle     stood still 9.6s on sidewalk, exc 0 -> 13, sleep 100 -> 100
  66.3  near     dog_walker at (88,1), 105px, exc 12, in 1.6/s (crowd 2.9, events 0.0), sleep 100
  66.5  cross    stepped into the road at (86,0), at a signalled crossing
  66.7  near     dog_walker at (88,1), 57px, exc 12, in 4.2/s (crowd 7.7, events 0.0), sleep 100
  66.9  near     dog_walker at (87,1), 30px, exc 13, in 5.0/s (crowd 9.1, events 0.0), sleep 100
  67.0  near     dog_walker at (87,1), 16px, exc 13, in 4.6/s (crowd 8.3, events 0.0), sleep 100
  67.7  crowd    a car sounded its horn at her in the road at (88,2) | exc 13, in 0.1/s (crowd 0.2, events 0.0), sleep 100
  69.0  near     market_stall at (94,5), 94px, exc 17, in 7.3/s (crowd 12.8, events 0.5), sleep 100
  69.1  crowd    a car sounded its horn at her in the road at (92,3) | exc 18, in 10.7/s (crowd 14.1, events 5.3), sleep 100
  69.5  near     market_stall at (94,1), 95px, exc 21, in 12.8/s (crowd 11.7, events 11.6), sleep 100
  69.6  near     market_stall at (94,5), 51px, exc 21, in 13.5/s (crowd 12.6, events 12.5), sleep 100
  70.2  road     3.8s on the road (1.9s of it carriageway), (86,0) -> (95,4)
  70.2  cue      the mark over her head: soon for 2.5s (2.5s of it on the road) | a car, and she is in the road
  72.0  cross    stepped into the road at (100,4), at a zebra
  74.0  near     market_stall at (108,5), 94px, exc 53, in 9.1/s (crowd 16.2, events 0.5), sleep 100
  74.5  crowd    a car sounded its horn at her in the road at (106,3) | exc 57, in 8.7/s (crowd 9.9, events 5.9), sleep 100
  74.5  cross    stepped into the road at (106,3), mid-block
  74.7  near     market_stall at (108,5), 51px, exc 59, in 15.2/s (crowd 22.4, events 5.9), sleep 100
  74.8  woke     woken on the way home, sleep back to 50 | near: market_stall 45px
  74.8  freeze   sleep stopped filling | exc 60, in 16.9/s (crowd 25.6, events 5.7), sleep 50 | near: market_stall 45px
  74.9  near     market_stall at (108,1), 95px, exc 62, in 33.0/s (crowd 28.1, events 5.5), sleep 50
  75.5  cue      the mark over her head: soon for 0.9s (0.9s of it on the road) | a car, and she is in the road
  76.1  crowd    walked into somebody at (110,4) | exc 99, in 18.7/s (crowd 34.8, events 1.9), sleep 50
  76.1  path     33% of her street time on the corridor (21.7s on, 44.9s off, 9.5s off the streets)
  76.1  lost     lost_crying after 76.1s — She started crying. There is no settling her now. | exc 100, in 33.7/s (crowd 32.2, events 1.5), sleep 50 | near: market_stall 83px
  76.1  nerve    spent a nerve on day 1 (act 1); 1 left — day 1 again
